date_order,ord_no,ord_issue_by,site_no,art_no,order_qty,orderv_amt
2021-12-02,ORD000431,นางสาวอภิชาติ วงศ์สุนทร,3,0,11.5,0
2021-12-03,ORD000509,นางสาวอภิชาติ วงศ์สุนทร,3,7,34.5,0
2021-12-03,ORD000587,นางสาวอภิชาติ วงศ์สุนทร,3,2,23,0
2021-12-02,ORD000428,นางสาววรรณา พิพัฒน์วงศ์,4,4,17.25,0
2021-12-02,ORD000415,นางสาววรรณา พิพัฒน์วงศ์,2,8,20.7,0
2021-12-04,ORD000609,นายสมชาย แซ่ลิ้ม,2,7,34.5,0
2021-12-05,ORD000637,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-05,ORD000637,นายสมชาย แซ่ลิ้ม,2,7,69,3450
2021-12-03,ORD000509,นางสาวอภิชาติ วงศ์สุนทร,3,0,11.5,0
2021-12-03,ORD000509,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-03,ORD000488,นางสาววรรณา พิพัฒน์วงศ์,2,0,11.5,0
2021-12-03,ORD000511,นางสาวอภิชาติ วงศ์สุนทร,2,0,11.5,0
2021-12-02,ORD000443,นางสาวอภิชาติ วงศ์สุนทร,2,9,11.5,0
2021-12-02,ORD000435,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
2021-12-02,ORD000419,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-03,ORD000512,นางสาวอภิชาติ วงศ์สุนทร,1,0,11.5,0
2021-12-02,ORD000426,นางสาววรรณา พิพัฒน์วงศ์,1,4,17.25,0
2021-12-03,ORD000588,นางสาวอภิชาติ วงศ์สุนทร,0,2,23,0
2021-12-04,ORD000603,นางสุนีย์ เลิศไพศาล,0,7,34.5,0
2021-12-02,ORD000413,นางสาววรรณา พิพัฒน์วงศ์,4,8,20.7,0
2021-12-03,ORD000510,นางสาวอภิชาติ วงศ์สุนทร,0,0,11.5,0
2021-12-02,ORD000437,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-02,ORD000420,นางสาวอภิชาติ วงศ์สุนทร,0,3,23,0
2021-12-04,ORD000602,นางสุนีย์ เลิศไพศาล,0,8,20.7,0
2021-12-04,ORD000610,นายสมชาย แซ่ลิ้ม,2,6,20.7,0
2021-12-03,ORD000512,นางสาวอภิชาติ วงศ์สุนทร,1,7,11.5,0
2021-12-03,ORD000589,นางสาวอภิชาติ วงศ์สุนทร,1,2,23,0
2021-12-02,ORD000436,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-05,ORD000633,นางสุนีย์ เลิศไพศาล,0,7,23,0
2021-12-02,ORD000421,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-03,ORD000590,นางสาวอภิชาติ วงศ์สุนทร,3,2,46,0
2021-12-02,ORD000438,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
2021-12-03,ORD000593,นางสาวอภิชาติ วงศ์สุนทร,4,2,23,0
2021-12-03,ORD000592,นางสาวอภิชาติ วงศ์สุนทร,1,2,23,0
2021-12-02,ORD000440,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-05,ORD000634,นายอาทิตย์ รุ่งเรือง,4,3,23,0
2021-12-03,ORD000489,นางสาววรรณา พิพัฒน์วงศ์,2,0,11.5,0
2021-12-06,ORD000686,นายสมชาย แซ่ลิ้ม,2,7,69,3450
2021-12-06,ORD000686,นายสมชาย แซ่ลิ้ม,2,0,69,1518
2021-12-03,ORD000591,นางสาวอภิชาติ วงศ์สุนทร,0,2,23,0
2021-12-02,ORD000439,นางสาวอภิชาติ วงศ์สุนทร,0,9,11.5,0
2021-12-03,ORD000594,นางสาวอภิชาติ วงศ์สุนทร,3,2,23,0
2021-12-07,ORD000777,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-03,ORD000516,นางสาววรรณา พิพัฒน์วงศ์,4,4,17.25,0
2021-12-03,ORD000597,นางสาวอภิชาติ วงศ์สุนทร,4,2,23,0
2021-12-07,ORD000816,นางสาววรรรรรณา พิพัฒน์วงศ์,4,7,57.5,2300
2021-12-07,ORD000816,นางสาววรรณา พิพัฒน์วงศ์,4,0,11.5,253
2021-12-06,ORD000647,นายธนพล จิตรสมบูรณ์,4,7,23,0
2021-12-07,ORD000816,นางสาววรรณา พิพัฒน์วงศ์,4,5,34.5,2242.5
2021-12-07,ORD000777,นายสมชาย แซ่ลิ้ม,2,7,80.5,4025
2021-12-02,ORD000450,นางสาวอภิชาติ วงศ์สุนทร,3,7,34.5,0
2021-12-03,ORD000513,นางสาววรรณา พิพัฒน์วงศ์,3,4,17.25,0
2021-12-03,ORD000595,นางสาวอภิชาติ วงศ์สุนทร,0,2,23,0
nan,ORD000645,นางสุนีย์ เลิศไพศาล,0,3,115,0
2021-12-03,ORD000514,นางสาววรรณา พิพัฒน์วงศ์,0,4,17.25,0
2021-12-06,ORD000646,นางสุนีย์ เลิศไพศาล,0,7,57.5,0
2021-12-03,ORD000515,นางสาววรรณา พิพัฒน์วงศ์,1,4,51.75,0
2021-12-03,ORD000596,นางสาวอภิชาติ วงศ์สุนทร,1,2,23,0
2021-12-02,ORD000441,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-06,ORD000645,นางสุนีย์ เลิศไพศาล,0,6,13.8,0
2021-12-06,ORD000644,นางสุนีย์ เลิศไพศาล,0,8,41.4,0
2021-12-08,ORD000880,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-03,ORD000520,นางสาวอภิชาติ วงศ์สุนทร,3,2,46,0
2021-12-03,ORD000599,นางสาวอภิชาติ วงศ์สุนทร,0,5,17.25,0
2021-12-03,ORD000585,นางสาวอภิชาติ วงศ์สุนทร,1,0,11.5,0
2021-12-03,ORD000601,นางสาวอภิชาติ วงศ์สุนทร,1,7,34.5,0
2021-12-07,ORD000779,นางสาววรรณา พิพัฒน์วงศ์,1,4,34.5,0
2021-12-03,ORD000558,นางสาวอภิชาติ วงศ์สุนทร,3,3,46,0
2021-12-03,ORD000523,นางสาวอภิชาติ วงศ์สุนทร,3,9,34.5,0
2021-12-07,ORD000778,นางสาววรรณา พิพัฒน์วงศ์,3,4,17.25,0
2021-12-03,ORD000598,นางสาวอภิชาติ วงศ์สุนทร,3,7,80.5,0
2021-12-03,ORD000527,นางสาวอภิชาติ วงศ์สุนทร,2,9,11.5,0
2021-12-03,ORD000600,นางสาวอภิชาติ วงศ์สุนทร,2,5,17.25,0
2021-12-07,ORD000720,นายสมชาย แซ่ลิ้ม,2,6,20.7,0
2021-12-07,ORD000769,นางสาวอภิชาติ วงศ์สุนทร,2,6,55.2,0
2021-12-03,ORD000560,นางสาวอภิชาติ วงศ์สุนทร,2,3,23,0
2021-12-07,ORD000720,นายสมชาย แซ่ลิ้ม,2,3,23,0
2021-12-07,ORD000735,นายสมชาย แซ่ลิ้ม,2,7,69,0
2021-12-08,ORD000880,นายสมชาย แซ่ลิ้ม,2,7,69,3588
2021-12-07,ORD000771,นางสาวอภิชาติ วงศ์สุนทร,4,6,41.4,0
2021-12-03,ORD000524,นางสาวอภิชาติ วงศ์สุนทร,0,9,11.5,0
2021-12-08,ORD000880,นายสมชาย แซ่ลิ้ม,2,4,69,1863
2021-12-03,ORD000559,นางสาวอภิชาติ วงศ์สุนทร,0,3,46,0
2021-12-03,ORD000599,นางสาวอภิชาติ วงศ์สุนทร,0,7,23,0
2021-12-07,ORD000807,นางสาวอภิชาติ วงศ์สุนทร,0,3,230,0
2021-12-07,ORD000817,นางสาววรรณา พิพัฒน์วงศ์,4,5,17.25,1121.25
2021-12-03,ORD000522,นางสาวอภิชาติ วงศ์สุนทร,4,2,46,0
2021-12-07,ORD000768,นางสาวอภิชาติ วงศ์สุนทร,0,6,34.5,0
2021-12-07,ORD000701,นางสุนีย์ เลิศไพศาล,0,4,17.25,0
2021-12-03,ORD000522,นางสาวอภิชาติ วงศ์สุนทร,4,8,41.4,0
2021-12-03,ORD000526,นางสาวอภิชาติ วงศ์สุนทร,4,9,23,0
2021-12-03,ORD000521,นางสาวอภิชาติ วงศ์สุนทร,0,8,20.7,0
2021-12-07,ORD000817,นางสาววรรณา พิพัฒน์วงศ์,4,0,11.5,253
2021-12-07,ORD000780,นางสาววรรณา พิพัฒน์วงศ์,4,4,34.5,0
2021-12-07,ORD000817,นางสาววรรณา พิพัฒน์วงศ์,4,7,46,1840
2021-12-03,ORD000562,นางสาวอภิชาติ วงศ์สุนทร,4,3,46,0
2021-12-03,ORD000601,นางสาวอภิชาติ วงศ์สุนทร,1,5,17.25,0
2021-12-07,ORD000700,นายพิชัย เกียรติกุล,1,8,20.7,0
2021-12-03,ORD000525,นางสาวอภิชาติ วงศ์สุนทร,1,9,23,0
2021-12-03,ORD000586,นางสาวอภิชาติ วงศ์สุนทร,3,0,11.5,0
2021-12-03,ORD000520,นางสาวอภิชาติ วงศ์สุนทร,3,8,20.7,0
2021-12-07,ORD000767,นางสาวอภิชาติ วงศ์สุนทร,3,6,110.4,0
2021-12-03,ORD000598,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-07,ORD000770,นางสาวอภิชาติ วงศ์สุนทร,1,6,69,0
2021-12-03,ORD000561,นางสาวอภิชาติ วงศ์สุนทร,1,3,23,0
2021-12-08,ORD000879,นางสาววรรณา พิพัฒน์วงศ์,1,4,17.25,0
2021-12-08,ORD000902,นางสาวอภิชาติ วงศ์สุนทร,1,4,34.5,0
2021-12-07,ORD000804,นางสาวอภิชาติ วงศ์สุนทร,0,7,23,0
2021-12-07,ORD000790,นางสาวอภิชาติ วงศ์สุนทร,3,8,20.7,0
2021-12-07,ORD000803,นางสาวอภิชาติ วงศ์สุนทร,3,7,69,0
2021-12-07,ORD000810,นางสาวอภิชาติ วงศ์สุนทร,3,0,11.5,0
2021-12-08,ORD000903,นางสาวอภิชาติ วงศ์สุนทร,4,4,34.5,0
2021-12-07,ORD000818,นางสาววรรณา พิพัฒน์วงศ์,4,0,11.5,253
2021-12-07,ORD000805,นางสาวอภิชาติ วงศ์สุนทร,2,5,17.25,0
2021-12-07,ORD000792,นางสาวอภิชาติ วงศ์สุนทร,2,8,20.7,0
2021-12-07,ORD000790,นางสาวอภิชาติ วงศ์สุนทร,3,2,46,0
2021-12-07,ORD000781,นางสาวอภิชาติ วงศ์สุนทร,3,3,46,0
2021-12-08,ORD000877,นางสาววรรณา พิพัฒน์วงศ์,3,4,17.25,0
2021-12-07,ORD000774,นางสาวอภิชาติ วงศ์สุนทร,3,6,89.7,0
2021-12-07,ORD000786,นางสาวอภิชาติ วงศ์สุนทร,3,9,23,0
2021-12-07,ORD000803,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-07,ORD000788,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-07,ORD000787,นางสาวอภิชาติ วงศ์สุนทร,0,9,11.5,0
2021-12-07,ORD000793,นางสาวอภิชาติ วงศ์สุนทร,1,8,20.7,0
2021-12-07,ORD000772,นางสาวอภิชาติ วงศ์สุนทร,1,6,55.2,0
2021-12-07,ORD000809,นางสาวอภิชาติ วงศ์สุนทร,1,0,11.5,0
2021-12-07,ORD000791,นางสาวอภิชาติ วงศ์สุนทร,0,8,20.7,0
2021-12-07,ORD000811,นางสาวอภิชาติ วงศ์สุนทร,0,0,11.5,0
2021-12-07,ORD000784,นางสาวอภิชาติ วงศ์สุนทร,1,3,23,0
2021-12-07,ORD000793,นางสาวอภิชาติ วงศ์สุนทร,1,2,23,0
2021-12-07,ORD000789,นางสาวอภิชาติ วงศ์สุนทร,4,9,23,0
2021-12-07,ORD000818,นางสาววรรณา พิพัฒน์วงศ์,4,7,34.5,1380
2021-12-07,ORD000773,นางสาวอภิชาติ วงศ์สุนทร,4,6,41.4,0
2021-12-09,ORD001002,นายสมชาย แซ่ลิ้ม,2,7,69,3588
2021-12-07,ORD000783,นางสาวอภิชาติ วงศ์สุนทร,2,3,46,0
2021-12-08,ORD000860,นายสมชาย แซ่ลิ้ม,2,0,34.5,0
2021-12-08,ORD000861,นายสมชาย แซ่ลิ้ม,2,4,34.5,0
2021-12-09,ORD001002,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-07,ORD000806,นางสาวอภิชาติ วงศ์สุนทร,1,7,34.5,0
2021-12-07,ORD000782,นางสาวอภิชาติ วงศ์สุนทร,0,3,46,0
2021-12-08,ORD000878,นางสาววรรณา พิพัฒน์วงศ์,0,4,17.25,0
2021-12-07,ORD000775,นางสาวอภิชาติ วงศ์สุนทร,0,6,27.6,0
2021-12-07,ORD000808,นางสาวอภิชาติ วงศ์สุนทร,0,6,34.5,0
2021-12-07,ORD000818,นางสาววรรณา พิพัฒน์วงศ์,4,5,17.25,1121.25
2021-12-07,ORD000785,นางสาวอภิชาติ วงศ์สุนทร,4,3,69,0
2021-12-07,ORD000794,นางสาวอภิชาติ วงศ์สุนทร,4,2,23,0
2021-12-07,ORD000794,นางสาวอภิชาติ วงศ์สุนทร,4,8,20.7,0
2021-12-07,ORD000776,นางสาวอภิชาติ วงศ์สุนทร,2,6,48.3,0
2021-12-07,ORD000812,นางสาวอภิชาติ วงศ์สุนทร,2,2,115,0
2021-12-08,ORD000862,นายสมชาย แซ่ลิ้ม,2,6,34.5,0
2021-12-09,ORD000979,นางสาววรรณา พิพัฒน์วงศ์,1,4,34.5,0
2021-12-09,ORD000926,นายธนพล จิตรสมบูรณ์,4,7,230,0
2021-12-08,ORD000884,นางสาวอภิชาติ วงศ์สุนทร,4,3,23,0
2021-12-09,ORD000927,นายธนพล จิตรสมบูรณ์,4,4,34.5,0
2021-12-09,ORD000982,นางสาววรรณา พิพัฒน์วงศ์,4,4,17.25,0
2021-12-08,ORD000905,นางสาวอภิชาติ วงศ์สุนทร,0,5,17.25,0
2021-12-07,ORD000796,นางสาวอภิชาติ วงศ์สุนทร,3,2,23,0
2021-12-08,ORD000908,นางสาวอภิชาติ วงศ์สุนทร,3,0,11.5,0
2021-12-09,ORD000975,นางสาววรรณา พิพัฒน์วงศ์,3,0,11.5,0
2021-12-07,ORD000819,นางสาววรรณา พิพัฒน์วงศ์,4,5,17.25,1121.25
2021-12-07,ORD000819,นางสาววรรณา พิพัฒน์วงศ์,4,0,11.5,253
2021-12-09,ORD000925,นางสุนีย์ เลิศไพศาล,0,0,11.5,0
2021-12-08,ORD000900,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-08,ORD000882,นางสาวอภิชาติ วงศ์สุนทร,0,3,23,0
2021-12-08,ORD000899,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-09,ORD000977,นางสาววรรณา พิพัฒน์วงศ์,1,0,11.5,0
2021-12-08,ORD000907,นางสาวอภิชาติ วงศ์สุนทร,1,7,11.5,0
2021-12-08,ORD000898,นางสาวอภิชาติ วงศ์สุนทร,0,9,11.5,0
2021-12-08,ORD000905,นางสาวอภิชาติ วงศ์สุนทร,0,7,11.5,0
2021-12-07,ORD000795,นางสาวอภิชาติ วงศ์สุนทร,4,8,20.7,0
2021-12-07,ORD000795,นางสาวอภิชาติ วงศ์สุนทร,4,2,23,0
2021-12-07,ORD000819,นางสาววรรณา พิพัฒน์วงศ์,4,7,34.5,1380
2021-12-08,ORD000881,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-08,ORD000897,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
2021-12-08,ORD000904,นางสาวอภิชาติ วงศ์สุนทร,3,7,23,0
2021-12-08,ORD000907,นางสาวอภิชาติ วงศ์สุนทร,1,5,17.25,0
2021-12-08,ORD000883,นางสาวอภิชาติ วงศ์สุนทร,1,3,23,0
2021-12-08,ORD000906,นางสาวอภิชาติ วงศ์สุนทร,2,5,17.25,0
2021-12-10,ORD001136,นายสมชาย แซ่ลิ้ม,2,7,69,3588
2021-12-08,ORD000901,นางสาวอภิชาติ วงศ์สุนทร,2,9,11.5,0
2021-12-09,ORD000997,นางสาวอภิชาติ วงศ์สุนทร,2,5,17.25,0
2021-12-10,ORD001048,นายสมชาย แซ่ลิ้ม,2,7,23,0
2021-12-10,ORD001049,นายสมชาย แซ่ลิ้ม,2,6,6.9,0
2021-12-08,ORD000887,นางสาวอภิชาติ วงศ์สุนทร,2,3,23,0
2021-12-07,ORD000820,นางสาววรรณา พิพัฒน์วงศ์,4,5,17.25,1121.25
2021-12-07,ORD000820,นางสาววรรณา พิพัฒน์วงศ์,4,7,23,920
2021-12-07,ORD000800,นางสาวอภิชาติ วงศ์สุนทร,4,8,20.7,0
2021-12-09,ORD000983,นางสาววรรณา พิพัฒน์วงศ์,4,4,17.25,0
2021-12-07,ORD000813,นางสาวอภิชาติ วงศ์สุนทร,2,2,115,0
2021-12-11,ORD001148,นายสมชาย แซ่ลิ้ม,2,0,69,1311
2021-12-11,ORD001148,นายสมชาย แซ่ลิ้ม,2,7,46,2392
2021-12-09,ORD000995,นางสาวอภิชาติ วงศ์สุนทร,3,7,23,0
2021-12-07,ORD000797,นางสาวอภิชาติ วงศ์สุนทร,3,8,20.7,0
2021-12-10,ORD001047,นางสุนีย์ เลิศไพศาล,0,0,11.5,0
2021-12-09,ORD000986,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-07,ORD000798,นางสาวอภิชาติ วงศ์สุนทร,0,8,20.7,0
2021-12-09,ORD000995,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-08,ORD000885,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-09,ORD000978,นางสาววรรณา พิพัฒน์วงศ์,3,4,17.25,0
2021-12-09,ORD000985,นางสาวอภิชาติ วงศ์สุนทร,3,9,23,0
2021-12-07,ORD000800,นางสาวอภิชาติ วงศ์สุนทร,4,2,23,0
2021-12-08,ORD000888,นางสาวอภิชาติ วงศ์สุนทร,4,3,23,0
2021-12-07,ORD000797,นางสาวอภิชาติ วงศ์สุนทร,3,2,23,0
2021-12-09,ORD000976,นางสาววรรณา พิพัฒน์วงศ์,3,0,11.5,0
2021-12-09,ORD000987,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-07,ORD000820,นางสาววรรณา พิพัฒน์วงศ์,4,0,11.5,253
2021-12-09,ORD000996,นางสาวอภิชาติ วงศ์สุนทร,0,7,11.5,0
2021-12-07,ORD000799,นางสาวอภิชาติ วงศ์สุนทร,1,8,20.7,0
2021-12-08,ORD000886,นางสาวอภิชาติ วงศ์สุนทร,0,3,23,0
2021-12-09,ORD000980,นางสาววรรณา พิพัฒน์วงศ์,1,4,17.25,0
2021-12-09,ORD000998,นางสาวอภิชาติ วงศ์สุนทร,1,7,11.5,0
2021-12-10,ORD001050,นายสมชาย แซ่ลิ้ม,2,0,34.5,0
2021-12-11,ORD001143,นางสุนีย์ เลิศไพศาล,0,4,17.25,0
2021-12-08,ORD000890,นางสาวอภิชาติ วงศ์สุนทร,0,3,23,0
2021-12-08,ORD000892,นางสาวอภิชาติ วงศ์สุนทร,1,3,23,0
2021-12-09,ORD000990,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-09,ORD000981,นางสาววรรณา พิพัฒน์วงศ์,1,4,17.25,0
2021-12-09,ORD001015,นางสาวอภิชาติ วงศ์สุนทร,1,7,11.5,0
2021-12-09,ORD000989,นางสาวอภิชาติ วงศ์สุนทร,0,9,11.5,0
2021-12-11,ORD001142,นางสุนีย์ เลิศไพศาล,0,0,11.5,0
2021-12-11,ORD001145,นายสมชาย แซ่ลิ้ม,2,0,23,0
2021-12-09,ORD001014,นางสาวอภิชาติ วงศ์สุนทร,2,5,17.25,0
2021-12-08,ORD000891,นางสาวอภิชาติ วงศ์สุนทร,2,3,23,0
2021-12-09,ORD001013,นางสาวอภิชาติ วงศ์สุนทร,3,7,11.5,0
2021-12-08,ORD000889,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-09,ORD001013,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-09,ORD000988,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
2021-12-07,ORD000801,นางสาวอภิชาติ วงศ์สุนทร,4,8,20.7,0
2021-12-07,ORD000801,นางสาวอภิชาติ วงศ์สุนทร,4,2,23,0
2021-12-07,ORD000821,นางสาววรรณา พิพัฒน์วงศ์,4,5,17.25,1121.25
2021-12-08,ORD000893,นางสาวอภิชาติ วงศ์สุนทร,4,3,23,0
2021-12-09,ORD000991,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-11,ORD001144,นายธนพล จิตรสมบูรณ์,4,0,23,0
2021-12-07,ORD000821,นางสาววรรณา พิพัฒน์วงศ์,4,7,23,920
2021-12-09,ORD000993,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-08,ORD000896,นางสาวอภิชาติ วงศ์สุนทร,4,3,23,0
2021-12-08,ORD000909,นางสาวอภิชาติ วงศ์สุนทร,3,7,23,0
2021-12-08,ORD000894,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-07,ORD000822,นางสาววรรณา พิพัฒน์วงศ์,4,7,23,920
2021-12-09,ORD000992,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
2021-12-07,ORD000802,นางสาวอภิชาติ วงศ์สุนทร,3,2,23,0
2021-12-08,ORD000895,นางสาวอภิชาติ วงศ์สุนทร,0,3,23,0
2021-12-08,ORD000910,นางสาวอภิชาติ วงศ์สุนทร,0,7,11.5,0
2021-12-12,ORD001156,นางสุนีย์ เลิศไพศาล,0,7,115,0
2021-12-13,ORD001209,นายสมชาย แซ่ลิ้ม,2,7,69,3588
2021-12-12,ORD001157,นางสุนีย์ เลิศไพศาล,0,0,57.5,0
2021-12-09,ORD000994,นางสาวอภิชาติ วงศ์สุนทร,2,9,11.5,0
2021-12-13,ORD001211,นางสาววรรณา พิพัฒน์วงศ์,0,4,17.25,0
2021-12-14,ORD001364,นางสาววรรณา พิพัฒน์วงศ์,4,7,69,4002
2021-12-13,ORD001217,นางสาววรรณา พิพัฒน์วงศ์,4,8,20.7,0
2021-12-13,ORD001234,นางสาวอภิชาติ วงศ์สุนทร,1,7,11.5,0
2021-12-13,ORD001212,นางสาววรรณา พิพัฒน์วงศ์,1,4,34.5,0
